sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
10372,,Default,simple,Default Category,base,New Brown Classic Plus - 9 Cuft,,,,1,Taxable Goods,Not Visible Individually,42500,,,,new-brown-classic-plus-9-cuft-1,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/vcm-brown-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/vcm-brown-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/vcm-brown-New.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=9 Cuft,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,"5273,5275",,,,,,,,,,,,,,,,,,
10371,,Default,simple,Default Category,base,New Golden Classic Plus - 9 Cuft,,,,1,Taxable Goods,Not Visible Individually,42500,,,,new-golden-classic-plus-9-cuft-2,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/VCM-golden-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/VCM-golden-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/VCM-golden-New.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=9 Cuft,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,"5273,5274",,,,,,,,,,,,,,,,,,
10370,,Default,simple,Default Category,base,New Silver Hair Line Classic Plus - 9 Cuft,,,,1,Taxable Goods,Not Visible Individually,42500,,,,new-silver-hair-line-classic-plus-9-cuft-10,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Silver-hairline-VCM-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Silver-hairline-VCM-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Silver-hairline-VCM-New.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=9 Cuft,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,"5273,5274",,,,,,,,,,,,,,,,,,
10369,,Default,simple,Default Category,base,New Blue Hair Line Classic Plus - 9 Cuft,,,,1,Taxable Goods,Not Visible Individually,42500,,,,new-blue-hair-line-classic-plus-9-cuft-6,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/blue-hairline-VCM-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/blue-hairline-VCM-New.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/blue-hairline-VCM-New.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=9 Cuft,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,"5274,5275",,,,,,,,,,,,,,,,,,
10363,,Default,simple,Default Category,base,New Golden Persona Plus - 9 Cuft,,,,1,Taxable Goods,Not Visible Individually,47000,,,,new-golden-persona-plus-9-cuft-1,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Golden.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Golden.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Golden.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=9 Cuft,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,"5272,5277",,,,,,,,,,,,,,,,,,
10362,,Default,simple,Default Category,base,New Maroon Persona Plus - 9 Cuft,,,,1,Taxable Goods,Not Visible Individually,47000,,,,new-maroon-persona-plus-9-cuft-3,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Plus-Maroon.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Plus-Maroon.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-Persona-Plus-Maroon.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=9 Cuft,4,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,"5272,5277",,,,,,,,,,,,,,,,,,
10361,,Default,simple,Default Category,base,New Brown Persona Plus - 9 Cuft,,,,1,Taxable Goods,Not Visible Individually,47000,,,,new-brown-persona-plus-9-cuft-7,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-persona-brown.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-persona-brown.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/New-persona-brown.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=9 Cuft,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,0,,,"5272,5278",,,,,,,,,,,,,,,,,,
10298,,Default,simple,Default Category,base,Golden Classic Plus - 9 Cuft,,,,1,Taxable Goods,Not Visible Individually,42500,,,,golden-classic-plus-9-cuft-5,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Golden_Front_-1.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Golden_Front_-1.jpg,,https://estore.kenwoodpakistan.com/wp-content/uploads/2018/03/Golden_Front_-1.jpg,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=9 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,"5273,5274",,,,,,,,,,,,,,,,,,
9997,,Default,simple,Default Category,base,Glass Invertech Inverter Refrigerator - 13 Cuft,,,,1,Taxable Goods,Not Visible Individually,64500,,,,glass-invertech-inverter-refrigerator-13-cuft-6,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Mirror-2-copy.png,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Mirror-2-copy.png,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Mirror-2-copy.png,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=13 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
9996,,Default,simple,Default Category,base,Glass Invertech Inverter Refrigerator - 15 Cuft,,,,1,Taxable Goods,Not Visible Individually,71500,,,,glass-invertech-inverter-refrigerator-15-cuft-6,,,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Mirror-2-copy.png,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Mirror-2-copy.png,,https://estore.kenwoodpakistan.com/wp-content/uploads/2021/02/Front-Mirror-2-copy.png,,,,,,,,Block after Info Column,,,,,,,,,,,Use config,,size=15 Cuft,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
